Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGM,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FTM,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFG%,TS%,hAST%,TOV%,OER,PER
25,Dalano Banton,PG,23,TOR,31,2,279,7.1,16.8,9.7,0.423,1.9,6.6,0.294,5.2,10.2,0.506,2.2,3.1,0.9,0.708,1.4,4.4,5.8,4.6,1.7,1.7,2.3,4.4,18.3,61.9047619,50.07524969,18.27391002,9.13695501,0.892900707,0.027598566
26,Dominick Barlow,PF,19,SAS,28,0,408,4.1,7.6,3.5,0.535,0,0.4,0,4.1,7.2,0.561,1.6,2.2,0.6,0.72,4.1,4.9,9,2.1,0.9,1.7,1.3,4.9,9.7,56.57894737,56.10179294,17.43462017,10.79286011,0.980788675,0.022303922
27,Harrison Barnes,PF,30,SAC,82,82,2662,5.1,10.7,5.6,0.473,1.8,4.8,0.374,3.3,5.9,0.553,4.7,5.6,0.9,0.847,1.2,3.8,4.9,1.7,0.8,0.1,1.2,1.4,16.6,70.09345794,62.1257485,10.45510455,7.380073801,1.151178918,0.003756574
28,Scottie Barnes,SF,21,TOR,77,76,2678,6.2,13.7,7.5,0.456,0.8,3,0.281,5.4,10.6,0.505,2.6,3.3,0.7,0.772,2.4,4.5,6.9,5,1.1,0.8,2.1,2.3,15.8,56.20437956,51.74390044,22.35386163,9.388621884,0.914087359,0.00403286
29,RJ Barrett,SG,22,NYK,73,73,2475,7.4,17.1,9.7,0.434,1.8,5.7,0.31,5.7,11.4,0.495,4.2,5.7,1.5,0.74,0.9,4.5,5.4,2.9,0.5,0.2,2.4,2.6,20.8,59.94152047,52.50536413,11.55033357,9.558896744,0.942669386,0.002505051
30,Will Barton,SG,32,TOT,56,2,993,5,13.2,8.2,0.379,2.4,6.5,0.367,2.6,6.7,0.391,1.3,1.7,0.4,0.787,0.5,4.4,5,4.1,1,0.5,1.7,2,13.7,62.5,48.90237373,20.69923009,8.582607598,0.874561124,0.007049345
30,Will Barton,SG,32,WAS,40,0,782,5.1,13.1,8,0.386,2.4,6.4,0.377,2.7,6.8,0.395,1.6,2.1,0.5,0.778,0.5,4.6,5.1,4.4,0.8,0.5,2.1,1.8,14.1,63.35877863,50.00886682,21.36181575,10.19541206,0.873335398,0.009590793
30,Will Barton,SG,32,TOR,16,2,211,4.8,13.5,8.7,0.354,2.4,7.2,0.333,2.4,6.3,0.378,0.3,0.3,0,1,0.9,3.6,4.4,2.9,1.9,0.5,0.5,2.9,12.3,62.22222222,45.07971413,17.01628282,2.933841866,0.870180403,0.024170616
31,Charles Bassey,C,22,SAS,35,2,508,6.2,9.6,3.4,0.644,0.2,0.6,0.375,6,9,0.661,1.6,2.6,1,0.595,5.3,8.4,13.7,3.3,1.1,2.3,2.9,5.2,14.1,67.70833333,65.06691278,19.37188142,17.02377458,1.031455743,0.031299213
32,Keita Bates-Diop,PF,27,SAS,67,42,1452,5.9,11.5,5.6,0.508,1.4,3.5,0.394,4.5,8,0.557,3,3.7,0.7,0.793,1.6,4.5,6.1,2.6,1.1,0.5,1.4,1.6,16,66.52173913,60.34320196,15.06591337,8.112414892,1.098523859,0.007782369
33,Nicolas Batum,PF,34,LAC,78,19,1709,3.4,8,4.6,0.42,2.6,6.7,0.391,0.8,1.3,0.563,0.7,1,0.3,0.708,1.3,5,6.3,2.5,1.1,0.9,1.1,3.1,10.1,84.375,59.58702065,20.70393375,9.109730849,1.057591623,0.004915155
34,Darius Bazley,C,22,TOT,43,1,616,4.9,10.7,5.8,0.454,1.2,3.1,0.377,3.7,7.6,0.485,2.2,4.1,1.9,0.543,2,6.1,8.1,2.2,1.3,2,1.6,2.6,13.1,60.28037383,51.78889109,13.37589299,9.727922177,0.926122305,0.016233766
34,Darius Bazley,C,22,OKC,36,1,555,4.6,10.2,5.6,0.449,1.2,2.9,0.4,3.4,7.3,0.469,2.3,4.2,1.9,0.554,1.9,6,7.9,2.1,1.2,1.9,1.4,2.3,12.7,59.31372549,52.07052071,13.38005734,8.920038229,0.941438102,0.018018018
34,Darius Bazley,C,22,PHO,7,0,61,7.1,14.8,7.7,0.48,1.2,4.7,0.25,5.9,10,0.588,1.2,3,1.8,0.4,3,6.5,9.4,3.5,1.8,3,3,5.3,16.5,63.85135135,50.84745763,15.40154015,13.20132013,0.861618799,0.154098361
35,Bradley Beal,SG,29,WAS,50,50,1673,9.6,18.9,9.3,0.506,1.7,4.7,0.365,7.8,14.2,0.552,4.1,4.9,0.8,0.842,0.9,3.3,4.2,5.8,1,0.7,3.1,2.3,25,63.22751323,58.88587917,19.2515144,10.28960252,1.032844454,0.006933652
36,Malik Beasley,SG,26,TOT,81,27,2093,6.4,16.1,9.7,0.395,4,11.3,0.357,2.3,4.8,0.484,0.9,1.1,0.2,0.769,0.6,4.3,4.9,2.1,1.1,0.2,1.5,1.8,17.6,74.8447205,52.94029177,10.38447274,7.417480529,0.972644377,0.003057812
36,Malik Beasley,SG,26,UTA,55,13,1472,6.5,16.4,9.9,0.396,4.1,11.5,0.359,2.3,4.8,0.485,0.9,1.1,0.2,0.841,0.7,4.2,4.8,2.3,1.1,0.2,1.5,1.8,18,74.69512195,53.18363126,11.09904693,7.238508867,0.978526774,0.004415761
36,Malik Beasley,SG,26,LAL,26,14,621,6.1,15.5,9.4,0.392,3.8,10.8,0.353,2.3,4.7,0.481,0.8,1.2,0.4,0.619,0.5,4.5,5,1.8,1.2,0.1,1.7,1.9,16.8,74.19354839,52.27131301,9.197751661,8.686765457,0.947012401,0.008695652
