Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGM,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FTM,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,eFG%,TS%,hAST%,TOV%,OER,PER
79,Facundo Campazzo,PG,31,DAL,8,0,52,2.1,9,6.9,0.231,2.1,7.6,0.273,0,1.4,0,0.7,1.4,0.7,0.5,0,1.4,1.4,6.2,4.2,0,2.1,2.1,6.9,65.55555556,35.69580962,34.51155024,11.68939605,0.588235294,0.094230769
80,Vlatko Cancar,PF,25,DEN,60,9,889,4.4,9.2,4.8,0.476,1.7,4.7,0.374,2.6,4.5,0.58,1.5,1.7,0.2,0.927,1,4.2,5.2,3.2,0.9,0.6,1.5,3.4,12,73.36956522,59.95503372,21.75760666,10.19887812,1.046663759,0.008548931
81,Clint Capela,C,28,ATL,65,63,1730,7.3,11.2,3.9,0.653,0,0,0,7.3,11.1,0.654,1.6,2.7,1.1,0.603,5.4,9.6,14.9,1.2,0.9,1.6,1.1,2.9,16.2,65.17857143,64.89084719,8.117706748,7.441231186,1.198668147,0.010693642
82,Vernon Carey Jr.,C,21,WAS,11,0,28,2.6,10.3,7.7,0.25,0,0,,2.6,10.3,0.25,2.6,2.6,0,1,3.9,10.3,14.1,3.9,2.6,2.6,2.6,6.4,7.7,25.24271845,33.37667967,21.6246188,14.41641253,0.547263682,0.417857143
83,Jevon Carter,PG,27,MIL,81,39,1810,4.8,11.2,6.4,0.423,2.8,6.7,0.421,1.9,4.5,0.425,0.6,0.8,0.2,0.816,0.7,3.3,4,3.9,1.3,0.6,1.6,3.1,12.9,72.76785714,55.69948187,22.83372365,9.367681499,0.980243161,0.003701657
84,Wendell Carter Jr.,C,23,ORL,57,54,1690,6.9,13.1,6.2,0.525,1.7,4.8,0.356,5.2,8.3,0.624,3.1,4.2,1.1,0.738,2.6,8,10.6,2.8,0.6,0.7,2.3,3.4,18.5,70.99236641,61.27856906,13.86481802,11.38895766,1.069982649,0.007928994
85,Michael Carter-Williams,PG,31,ORL,4,0,44,4.9,11.5,6.6,0.429,0.8,2.5,0.333,4.1,9,0.455,3.3,5.7,2.4,0.571,0.8,3.3,4.1,5.7,0.8,0.8,3.3,4.1,13.9,53.47826087,48.91782509,24.56102553,14.2195411,0.800460697,0.090909091
86,Alex Caruso,PG,28,CHI,67,36,1575,3,6.5,3.5,0.455,1.3,3.5,0.364,1.7,3.1,0.556,1.3,1.7,0.4,0.808,1,3.5,4.5,4.4,2.2,1.1,1.8,3.6,8.5,73.07692308,58.15942525,32.57449565,13.32593004,0.937672366,0.005396825
87,Julian Champagnie,SF,21,TOT,17,3,320,6.6,14.6,8,0.454,3.7,9.2,0.402,2.9,5.4,0.542,1.6,1.9,0.3,0.824,1.1,5.6,6.8,1.1,0.7,0.6,1.2,2.9,18.6,76.71232877,59.99032414,6.178907457,6.740626317,1.116781747,0.0271875
87,Julian Champagnie,SF,21,PHI,2,0,7,0,10.3,10.3,0,0,5.1,0,0,5.1,0,0,0,0,,0,0,0,0,5.1,0,0,0,0,24.75728155,0,0,0,0,-0.742857143
87,Julian Champagnie,SF,21,SAS,15,3,313,6.8,14.7,7.9,0.461,3.8,9.3,0.407,3,5.4,0.553,1.6,2,0.4,0.824,1.2,5.8,6.9,1.2,0.6,0.6,1.3,3,19,77.89115646,60.7028754,6.611570248,7.162534435,1.124260355,0.028434505
88,Justin Champagnie,SF,21,TOT,5,0,34,5.3,15.9,10.6,0.333,1.1,5.3,0.2,4.2,10.6,0.4,0,0,0,,3.2,5.3,8.5,4.2,1.1,0,0,2.1,11.6,50,36.47798742,20.89552239,0,0.729559748,0.220588235
88,Justin Champagnie,SF,21,TOR,3,0,11,9.8,9.8,0,1,0,0,,9.8,9.8,1,0,0,0,,3.3,9.8,13.1,3.3,0,0,0,3.3,19.6,100,100,25.19083969,0,2,2.081818182
88,Justin Champagnie,SF,21,BOS,2,0,23,3.1,18.8,15.7,0.167,1.6,7.8,0.2,1.6,11,0.143,0,0,0,,3.1,3.1,6.3,4.7,1.6,0,0,1.6,7.8,37.23404255,20.74468085,20,0,0.414893617,-1.93E-17
89,Kennedy Chandler,PG,20,MEM,36,0,281,4.5,10.6,6.1,0.422,0.3,1.9,0.133,4.2,8.7,0.485,0.8,1.7,0.9,0.462,1.2,3.7,4.9,7.4,1.5,0.6,2.3,1.9,10,51.41509434,43.83081306,35.05862845,10.89660073,0.731796561,0.031316726
90,Max Christie,SG,19,LAL,41,3,512,3.1,7.5,4.4,0.415,1.8,4.4,0.419,1.3,3.1,0.409,1,1.1,0.1,0.875,0.5,4.8,5.3,1.5,0.6,0.5,0.9,2.3,9,70.66666667,56.09224057,14.39194051,8.635164308,1.011804384,0.011914063
91,Josh Christopher,SG,21,HOU,64,2,786,7,15.1,8.1,0.465,1,4.1,0.236,6,11,0.55,2.1,2.7,0.6,0.75,0.9,2.3,3.3,3.3,1.5,0.7,2.7,2.7,17,59.93377483,51.88463299,14.74366134,12.06299564,0.894031028,0.00610687
92,Brandon Clarke,PF,26,MEM,56,8,1090,7.6,11.5,3.9,0.656,0,0.2,0.167,7.5,11.3,0.665,3.3,4.5,1.2,0.723,3,7.2,10.2,2.4,1.1,1.2,1.8,4.3,18.4,66.95652174,67.46104491,13.45480028,10.09110021,1.200652529,0.013394495
93,Jordan Clarkson,SG,30,UTA,61,61,1988,8.3,18.7,10.4,0.444,2.8,8.3,0.338,5.5,10.4,0.53,3.6,4.4,0.8,0.816,1.3,3.2,4.5,4.9,0.6,0.2,3.4,2.2,23,66.57754011,55.31505532,16.84427638,11.68786525,0.955149502,0.004074447
94,Nic Claxton,C,23,BRK,76,76,2271,6.6,9.3,2.7,0.705,0,0,0,6.6,9.3,0.708,2.1,3.9,1.8,0.541,2.9,8.2,11.1,2.3,1,3,1.5,3.4,15.2,70.96774194,68.14615557,15.38204314,10.03176726,1.210673039,0.007353589
95,Amir Coffey,SF,25,LAC,50,9,625,3.2,8.4,5.2,0.386,0.6,2.3,0.275,2.6,6,0.429,2.8,3.6,0.8,0.778,1,2.1,3.1,3.1,0.4,0.3,1.2,2.9,9.9,51.78571429,48.96142433,21.51283831,8.327550312,0.882352941,0.00544
96,John Collins,PF,25,ATL,71,71,2130,6.1,11.9,5.8,0.508,1.2,4.1,0.292,4.9,7.9,0.619,2.4,3,0.6,0.803,1.3,6.5,7.8,1.4,0.7,1.2,1.3,3.7,15.7,68.48739496,58.91181989,8.736349454,8.112324493,1.079037801,0.004413146
97,Zach Collins,C,25,SAS,63,26,1441,7.1,13.7,6.6,0.518,1.4,3.7,0.374,5.7,10,0.571,2.7,3.5,0.8,0.761,2.9,7.1,10,4.5,0.9,1.2,3.2,5,18.3,65.32846715,59.56061839,19.51219512,13.87533875,0.99052774,0.008466343
98,Chance Comanche,C,26,POR,1,0,21,5.1,8.6,3.5,0.6,0,0,,5.1,8.6,0.6,1.7,6.9,5.2,0.25,3.4,1.7,5.1,0,0,1.7,0,0,12,59.30232558,50.51568091,0,0,1.025202905,0.233333333
99,Mike Conley,PG,35,TOT,67,66,2029,4.6,10.8,6.2,0.428,2.4,6.2,0.385,2.2,4.6,0.486,2.5,3,0.5,0.834,0.6,2.6,3.2,8,1.3,0.2,1.8,2.5,14.2,71.2962963,58.07770961,36.32236095,8.172531215,1.017921147,0.005519961
99,Mike Conley,PG,35,UTA,43,42,1276,4.3,10.6,6.3,0.408,2.2,6,0.362,2.1,4.6,0.469,2.2,2.7,0.5,0.813,0.5,2.5,3,9.3,1.2,0.3,2.1,2.7,13,68.86792453,54.70229329,39.94416407,9.019649952,0.934243622,0.00854232
99,Mike Conley,PG,35,MIN,24,24,753,5.2,11.2,6,0.46,2.8,6.6,0.42,2.4,4.6,0.515,3,3.5,0.5,0.863,0.8,2.8,3.6,5.7,1.4,0.2,1.4,2.2,16.1,75.89285714,62.58503401,28.55353788,7.013149656,1.135802469,0.015670651
100,Pat Connaughton,SF,30,MIL,61,33,1443,4.1,10.5,6.4,0.392,2.7,8,0.339,1.4,2.5,0.566,0.7,1,0.3,0.659,1.2,5.8,7.1,1.9,0.9,0.3,0.8,1.7,11.6,77.14285714,52.84738041,13.89396709,5.850091408,0.987234043,0.005890506
101,Xavier Cooks,PF,27,WAS,10,1,126,4.9,8,3.1,0.607,0,0.3,0,4.9,7.7,0.63,1.1,2.9,1.8,0.4,4.6,6.3,10.9,1.7,1.7,1.1,2.3,3.7,10.9,63.125,58.11783524,12.70790506,17.19304803,0.939250323,0.083333333
102,Robert Covington,PF,32,LAC,48,0,779,4.7,10.6,5.9,0.445,2.5,6.3,0.397,2.2,4.3,0.516,1.4,1.8,0.4,0.75,1.4,6.2,7.7,2.6,1.8,1.5,1.5,4,13.3,74.05660377,58.05325186,16.71488267,9.643201543,1.03020914,0.013350449
103,Torrey Craig,PF,32,PHO,79,60,1948,4.2,9.2,5,0.456,1.8,4.7,0.395,2.4,4.6,0.518,0.6,0.8,0.2,0.711,2.7,5.2,7.9,2.2,0.9,1.1,1.3,3.3,10.9,71.19565217,56.88935282,16.81957187,9.93883792,1.003683241,0.004568789
104,Jae Crowder,PF,32,MIL,18,3,340,4.8,10,5.2,0.479,2.5,5.8,0.436,2.2,4.1,0.538,1.1,1.3,0.2,0.833,1.8,5.5,7.3,2.9,1.3,0.6,0.7,2.9,13.1,77,61.69060513,20.39739757,4.923509759,1.160832964,0.033823529
105,Jarrett Culver,SF,23,ATL,10,1,137,4.5,11.3,6.8,0.395,0.3,3.2,0.083,4.2,8.1,0.516,2.4,3.4,1,0.692,2.6,7.4,10,1.6,1.6,0.5,1.8,3.7,11.6,53.98230088,44.90902052,9.806926142,11.03279191,0.792891319,0.055474453
106,Cade Cunningham,PG,21,DET,12,12,400,8.4,20.2,11.8,0.415,1.5,5.5,0.279,6.8,14.7,0.466,3.2,3.9,0.7,0.837,1.1,5.6,6.7,6.5,0.9,0.6,3.5,3.1,21.5,55.1980198,48.74730756,20.27922939,10.91958506,0.844627775,0.02175
107,Seth Curry,SG,32,BRK,61,7,1211,6.2,13.3,7.1,0.463,2.8,6.9,0.405,3.4,6.5,0.525,1.5,1.6,0.1,0.927,0.4,2.6,3,2.9,1.1,0.2,1.5,2.9,16.7,72.55639098,59.3883357,15.70964247,8.12567714,1.076030928,0.005037159
108,Stephen Curry,PG,34,GSW,56,56,1941,10.4,21,10.6,0.493,5.1,11.9,0.427,5.3,9.2,0.579,4.8,5.2,0.4,0.915,0.7,5.6,6.3,6.5,1,0.4,3.3,2.2,30.6,77.85714286,65.18960375,19.53712053,9.918845807,1.148648649,0.00927357
109,Dyson Daniels,PG,19,NOP,59,11,1042,3,7.2,4.2,0.418,0.9,3,0.314,2.1,4.2,0.492,0.9,1.4,0.5,0.65,1.2,5.3,6.5,4.6,1.5,0.4,2,3.4,7.8,62.5,49.58677686,31.80089872,13.8264777,0.793489318,0.007389635
110,Anthony Davis,C,29,LAL,56,54,1904,10.2,18.2,8,0.563,0.4,1.4,0.257,9.9,16.8,0.589,6.6,8.4,1.8,0.784,3.7,9.6,13.3,2.8,1.1,2.2,2.3,2.8,27.4,59.89010989,61.73952231,10.26016856,8.427995603,1.128500824,0.011397059
111,Johnny Davis,SG,20,WAS,28,5,423,5.6,14.6,9,0.386,1.4,6,0.243,4.2,8.6,0.485,1.2,2.3,1.1,0.519,0.9,4.7,5.5,2.4,0.9,0.7,1.4,4.1,13.9,58.90410959,44.28867293,12.31242786,7.182249583,0.815967127,0.004964539
112,Terence Davis,SG,25,SAC,64,5,841,6.6,15.6,9,0.423,3.8,10.4,0.366,2.8,5.2,0.537,1.5,1.8,0.3,0.791,0.9,5.1,6,2.9,1.8,0.5,2.3,4.5,18.4,75.64102564,55.91005773,13.39182637,10.62110367,0.98343132,0.008323424
113,JD Davison,SG,20,BOS,12,0,66,4.4,10.4,6,0.421,1.1,3.8,0.286,3.3,6.5,0.5,0.5,1.1,0.6,0.5,1.1,3.8,4.9,6,1.1,1.1,2.2,2.7,10.4,60.57692308,47.60814832,31.37665054,11.50477187,0.794196258,0.115151515
114,Darius Days,SF,23,HOU,4,0,25,7.2,17.3,10.1,0.417,4.3,14.4,0.3,2.9,2.9,1,2.9,2.9,0,1,1.4,7.2,8.6,1.4,0,1.4,0,2.9,21.6,83.23699422,57.82358453,6.972979704,0,1.160978232,0.512
115,Dewayne Dedmon,C,33,TOT,38,1,426,6.5,12.8,6.3,0.51,1,3.3,0.308,5.5,9.5,0.58,2.8,4.1,1.3,0.673,2.9,8.5,11.3,2.2,0.8,1.6,2.1,6.3,16.8,63.671875,56.95880658,11.55007219,11.02506891,1.003284563,0.023943662
115,Dewayne Dedmon,C,33,MIA,30,0,350,6.6,13.3,6.7,0.496,1.1,3.8,0.297,5.5,9.5,0.576,3.3,4.5,1.2,0.727,2.9,8.3,11.2,1.6,0.7,1.4,2,6.3,17.6,63.90977444,57.00404858,8.404464872,10.50558109,1.015873016,0.027714286
115,Dewayne Dedmon,C,33,PHI,8,1,76,6.2,10.4,4.2,0.591,0.5,0.9,0.5,5.7,9.5,0.6,0.5,2.4,1.9,0.2,2.8,9,11.8,4.7,0.9,2.4,2.8,6.6,13.3,63.94230769,57.62564991,24.68487395,14.70588235,0.931372549,0.151315789
116,Matthew Dellavedova,PG,32,SAC,32,0,213,2.9,8.5,5.6,0.34,1.5,4.6,0.333,1.4,3.9,0.348,0.7,1.2,0.5,0.571,0.2,2,2.2,6.9,1.2,0,1.7,3.4,7.9,61.17647059,43.55016538,39.04923599,9.620826259,0.73556797,0.01971831
117,DeMar DeRozan,SF,33,CHI,74,74,2682,8.8,17.5,8.7,0.504,0.6,1.9,0.324,8.2,15.6,0.526,6.1,7,0.9,0.872,0.5,4.1,4.6,5.1,1.1,0.5,2.1,2.5,24.4,55.71428571,58.58343337,18.19803747,7.493309545,1.072527473,0.004697987
118,Moussa Diabaté,C,21,LAC,22,1,195,4.4,8.7,4.3,0.511,0.2,0.4,0.5,4.2,8.3,0.511,1.8,3,1.2,0.625,5.7,3.5,9.2,0.7,1.3,1.5,1.7,2.8,10.9,52.87356322,53.82716049,5.588822355,13.57285429,0.927659574,0.046666667
119,Mamadi Diakite,C,26,CLE,22,2,176,4.9,10.2,5.3,0.48,1.4,4.3,0.333,3.5,5.9,0.586,0.4,0.4,0,1,1.6,4.5,6.1,1.6,0.8,1.8,2.5,5.3,11.7,69.11764706,56.30413859,11.042098,17.25327812,0.908385093,0.022159091
120,Hamidou Diallo,SF,24,DET,56,0,996,7.8,13.6,5.8,0.573,0.2,0.8,0.238,7.6,12.8,0.593,3.1,5.3,2.2,0.588,2.1,5,7,2,1.9,0.6,2.6,4.5,18.9,60.29411765,58.63192182,9.65367443,12.54977676,1.016949153,0.00753012
121,Gorgui Dieng,C,33,SAS,31,1,358,4.5,11.8,7.3,0.385,2.1,7.5,0.28,2.4,4.2,0.571,1,1.3,0.3,0.769,2.7,8,10.8,5.3,0.4,1.4,3.2,5.7,12.2,69.91525424,49.12421985,25.33763595,15.29819529,0.782803978,0.025139665
122,Ousmane Dieng,PF,19,OKC,39,1,569,4.8,11.5,6.7,0.42,1.6,6.2,0.265,3.2,5.3,0.602,0.9,1.5,0.6,0.652,1.2,5.4,6.6,2.9,0.9,0.4,1.6,2.7,12.2,68.69565217,49.94882293,17.35228123,9.573672401,0.885662432,0.01142355
123,Spencer Dinwiddie,SG-PG,29,TOT,79,79,2725,6.1,13.9,7.8,0.438,2.4,6.5,0.369,3.7,7.4,0.498,3.5,4.4,0.9,0.812,0.4,3.2,3.6,6.8,0.9,0.3,1.9,2.5,18.1,67.26618705,56.59787367,27.54151478,7.695423248,1.01799775,0.003853211
123,Spencer Dinwiddie,SG,29,DAL,53,53,1808,6.3,13.8,7.5,0.455,2.7,6.8,0.405,3.5,7,0.504,3.4,4.1,0.7,0.821,0.4,2.9,3.2,5.6,0.8,0.3,1.8,2.5,18.7,70.28985507,59.37450389,24.19267739,7.776217734,1.071940384,0.005420354
123,Spencer Dinwiddie,PG,29,BRK,26,26,917,5.7,14,8.3,0.404,1.7,5.8,0.289,4,8.1,0.488,3.8,4.8,1,0.797,0.4,3.8,4.2,9.3,1.1,0.3,2.2,2.5,16.8,61.42857143,51.5970516,33.47732181,7.919366451,0.91503268,0.013195202
124,Donte DiVincenzo,SG,26,GSW,72,36,1894,4.5,10.3,5.8,0.435,2.9,7.2,0.397,1.6,3.1,0.525,1.1,1.3,0.2,0.817,1.5,4.7,6.2,4.8,1.8,0.2,2.1,2.5,12.9,78.6407767,59.07945958,26.93980637,11.78616529,0.993453985,0.005755016
125,Luka Doncic,PG,23,DAL,66,66,2391,10.8,21.8,11,0.496,2.8,8.1,0.342,8,13.7,0.588,7.8,10.4,2.6,0.742,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.2,68.11926606,60.20942408,20.86593636,9.389671362,1.070478723,0.008448348
127,Luguentz Dort,SF,23,OKC,74,73,2272,5.4,13.8,8.4,0.388,2.1,6.5,0.33,3.2,7.4,0.44,3.2,4.1,0.9,0.772,2,3.4,5.5,2.4,1.2,0.4,1.5,3.9,16.1,62.68115942,51.11922527,12.21529457,7.634559104,0.939049286,0.002420775
128,Ayo Dosunmu,SG,23,CHI,80,51,2098,4.8,9.8,5,0.493,1,3.2,0.312,3.8,6.5,0.583,1.1,1.4,0.3,0.805,0.8,3,3.8,3.5,1.1,0.4,1.7,3.1,11.8,65.30612245,56.3784042,22.34280243,10.85221832,0.972794724,0.002669209
129,Devon Dotson,PG,23,WAS,6,0,53,0.7,6.8,6.1,0.1,0.7,2.7,0.25,0,4.1,0,0,0,0,,4.1,2.7,6.8,5.4,3.4,0,2,6.1,2,30.14705882,14.70588235,38.02816901,14.08450704,0.227272727,0.052830189
130,Jeff Dowtin,PG,25,TOR,25,0,259,3.5,7.9,4.4,0.439,0.7,2.2,0.313,2.8,5.7,0.488,0.8,1.3,0.5,0.667,0.8,2.4,3.2,4.3,1.3,0.4,0.7,1.8,8.5,58.2278481,49.89727033,31.81061587,5.178472351,0.925421884,0.026254826
131,PJ Dozier,SF,26,SAC,16,0,79,4.6,15,10.4,0.303,0.9,7.3,0.125,3.6,7.7,0.471,0,0,0,,0.5,5.9,6.4,4.6,2.7,0.5,2.3,3.2,10,55,33.33333333,21.00456621,10.50228311,0.578034682,0.048101266
132,Goran Dragic,PG,36,TOT,58,0,870,5.8,13.9,8.1,0.421,2.2,6,0.359,3.7,7.9,0.468,1.3,1.9,0.6,0.689,0.7,2.7,3.4,6.2,0.5,0.2,2.6,2.7,15.1,63.30935252,51.00489782,26.26840377,11.01578223,0.870066263,0.006436782
132,Goran Dragic,PG,36,CHI,51,0,787,5.8,13.7,7.9,0.425,2.1,5.9,0.352,3.8,7.8,0.48,1.2,1.9,0.7,0.659,0.6,2.6,3.2,6.4,0.5,0.2,2.6,2.9,14.9,63.86861314,51.01866119,27.11577163,11.01578223,0.868551443,0.006734435
132,Goran Dragic,PG,36,MIL,7,0,83,6.1,15.6,9.5,0.389,3,7.4,0.412,3,8.2,0.368,1.7,1.7,0,1,1.3,3.9,5.2,5.2,0.9,0,3,0.9,16.9,62.82051282,51.50083803,21.13176877,12.19140506,0.872708495,0.104819277
133,Andre Drummond,C,29,CHI,67,0,849,7,11.6,4.6,0.606,0,0.1,0,7,11.5,0.613,2.8,5.3,2.5,0.536,5.9,13,18.8,1.4,1.9,1.1,3.2,5,16.9,60.77586207,59.85479015,7.479631361,17.09630025,0.98341577,0.020848057
134,Chris Duarte,SF,25,IND,46,12,897,4.9,13.4,8.5,0.369,2.2,7,0.316,2.7,6.4,0.428,2.4,2.9,0.5,0.847,0.8,3.9,4.6,2.6,1,0.4,1.6,2.6,14.5,62.68656716,49.06107258,13.70043473,8.431036754,0.889297761,0.005462653
135,David Duke Jr.,SG,23,BRK,23,0,228,5.7,12.3,6.6,0.462,0.2,1.9,0.083,5.5,10.4,0.53,1.9,2.7,0.8,0.706,1.7,2.8,4.6,3.3,1.6,0.2,2.8,4.9,13.4,54.06504065,49.32817964,16.76616284,14.22583513,0.821330064,0.010526316
136,Kris Dunn,PG,28,UTA,22,3,568,7.4,13.7,6.3,0.537,1.1,2.3,0.472,6.3,11.4,0.55,2.6,3.4,0.8,0.774,0.6,5.8,6.3,7.9,1.6,0.6,2.2,3.7,18.4,62.40875912,60.07182501,31.08400551,8.656305331,1.055651176,0.025528169
137,Kevin Durant,PF,34,TOT,47,47,1672,10.4,18.6,8.2,0.56,2,5,0.404,8.4,13.6,0.617,6.6,7.2,0.6,0.919,0.4,6.4,6.7,5.1,0.7,1.4,3.4,2.1,29.4,69.35483871,66.75749319,16.71035387,11.14023591,1.16481775,0.011124402
137,Kevin Durant,PF,34,BRK,39,39,1403,10.5,18.8,8.3,0.559,1.8,4.8,0.376,8.7,14,0.622,6.9,7.3,0.4,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,68.61702128,66.68912092,17.05962823,11.26579223,1.160836428,0.013471133
137,Kevin Durant,PF,34,PHO,8,8,269,9.8,17.1,7.3,0.57,2.9,5.5,0.537,6.8,11.6,0.586,5.4,6.4,1,0.833,0.4,6.4,6.8,3.7,0.3,1.3,2.7,0.9,27.8,73.39181287,69.01688183,13.9412208,10.17332329,1.225749559,0.06802974
138,Jalen Duren,C,19,DET,67,31,1670,5.6,8.6,3,0.648,0,0,0,5.6,8.5,0.652,2.1,3.4,1.3,0.611,4.9,7.9,12.8,1.6,0.9,1.3,2,3.9,13.2,65.11627907,64.61086637,11.58161419,14.47701773,1.088211047,0.008443114
139,Tari Eason,PF,21,HOU,82,5,1767,6,13.4,7.4,0.448,1.2,3.5,0.343,4.8,9.9,0.486,2.2,3,0.8,0.752,4,6.1,10.1,1.8,2,1,2.1,3.9,15.5,57.8358209,52.27655987,9.612817089,11.21495327,0.919881306,0.005715903
140,Anthony Edwards,SG,21,MIN,79,79,2842,9,19.5,10.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,4,5.3,1.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.7,64.87179487,56.0917452,14.80609069,11.10456802,0.980742505,0.003764954
141,Kessler Edwards,SF,22,TOT,36,4,385,3.4,8.7,5.3,0.387,1.6,5.1,0.309,1.8,3.6,0.5,1,1.4,0.4,0.733,2.2,3.6,5.7,2.2,1.3,0.6,1.2,3.7,9.4,68.3908046,50.18686599,17.23462593,9.400705053,0.892687559,0.013506494
141,Kessler Edwards,SF,22,BRK,14,1,79,2.7,10.9,8.2,0.25,0.9,5.5,0.167,1.8,5.5,0.333,0.5,0.9,0.4,0.5,2.7,3.6,6.4,0.9,1.4,0.5,1.8,1.4,6.8,50,30.01544913,6.415968633,12.83193727,0.518885921,0.018987342
141,Kessler Edwards,SF,22,SAC,22,3,306,3.5,8.1,4.6,0.435,1.8,5.1,0.349,1.8,3.1,0.577,1.2,1.5,0.3,0.769,2,3.5,5.5,2.5,1.3,0.6,1.1,4.4,10,74.69135802,56.73758865,20.14098691,8.86203424,1.012658228,0.019607843
142,Keon Ellis,SG,23,SAC,16,0,71,3.5,8.1,4.6,0.438,3,6.1,0.5,0.5,2,0.25,2,3.5,1.5,0.571,2,2,4.1,3,2.5,0.5,0.5,5.1,12.2,80.86419753,62.48399488,22.62016965,3.770028275,1.199017199,0.097183099
143,Joel Embiid,C,28,PHI,66,66,2284,11.5,20.9,9.4,0.548,1,3.2,0.33,10.4,17.8,0.587,10.4,12.2,1.8,0.857,1.8,8.8,10.6,4.3,1,1.8,3.6,3.2,34.4,62.67942584,64.43154149,12.42954184,10.40612805,1.147049016,0.009894921
144,Drew Eubanks,C,25,POR,78,28,1584,4.9,7.6,2.7,0.641,0.2,0.4,0.389,4.7,7.2,0.655,1.9,2.8,0.9,0.664,3,6.5,9.5,2.3,0.9,2.3,1.5,3.8,11.8,67.10526316,66.06942889,18.06755695,11.78318932,1.138996139,0.008270202
145,Bruno Fernando,C,24,TOT,39,4,405,5.2,10,4.8,0.527,0,0.4,0,5.2,9.6,0.546,3.1,4.4,1.3,0.7,4.8,7.4,12.2,2.8,0.5,3,2.2,6.6,13.6,54,56.24483044,16.3838502,12.87302516,0.95909732,0.029382716
145,Bruno Fernando,C,24,HOU,31,4,364,4.7,9.2,4.5,0.516,0,0.1,0,4.7,9.1,0.522,3,4.4,1.4,0.682,4.7,7.3,12.1,3,0.6,3.1,2,6.7,12.5,51.63043478,55.35872453,18.41620626,12.27747084,0.948406677,0.032692308
145,Bruno Fernando,C,24,ATL,8,0,41,9.7,16.7,7,0.579,0,2.6,0,9.7,14,0.688,4.4,5.3,0.9,0.833,5.3,7.9,13.2,0.9,0,2.6,4.4,5.3,23.7,65.86826347,61.66254716,3.670847354,17.94636484,1.00915478,0.32195122
146,Dorian Finney-Smith,PF,29,TOT,66,66,2009,3.5,9,5.5,0.391,2,6.1,0.337,1.5,2.9,0.503,0.8,1.1,0.3,0.763,2,3.6,5.7,1.8,1,0.6,1.1,2.6,9.9,72.77777778,51.98214755,14.48983699,8.854900382,0.93440302,0.002936784
146,Dorian Finney-Smith,PF,29,DAL,40,40,1288,3.6,8.7,5.1,0.416,2.2,6.1,0.355,1.5,2.6,0.559,0.8,1.1,0.3,0.75,1.9,3.4,5.3,1.6,1.1,0.6,1,2.2,10.2,76.43678161,55.29953917,13.5335166,8.458447875,1.000490436,0.005124224
146,Dorian Finney-Smith,PF,29,BRK,26,26,721,3.3,9.5,6.2,0.351,1.8,6,0.306,1.5,3.5,0.429,0.7,0.9,0.2,0.789,2.3,4,6.4,2,0.8,0.8,1.3,3.2,9.3,66.31578947,46.83958701,15.12001512,9.828009828,0.829986613,0.006796117
147,Malachi Flynn,PG,24,TOR,53,2,691,4.5,12.6,8.1,0.36,2.4,6.9,0.353,2.1,5.7,0.367,1.3,1.7,0.4,0.758,0.8,3.2,4,3.6,1.1,0.2,1.3,3.4,12.8,63.0952381,47.73447697,19.6640721,7.100914926,0.872826458,0.005643994
148,Simone Fontecchio,SF,27,UTA,52,6,766,5.4,14.7,9.3,0.369,3,9,0.33,2.4,5.7,0.43,1.6,2.1,0.5,0.795,1.5,2.6,4,2,0.7,0.4,1.8,2.9,15.4,67.34693878,49.05239688,10.25772535,9.231952814,0.882774434,0.003394256
149,Bryn Forbes,SG,29,MIN,25,0,268,4,11.1,7.1,0.361,1.9,6.2,0.304,2.1,5,0.432,2,2,0,1,0.5,1.5,2,2.3,0.9,0.3,1.6,3,12,63.96396396,49.79253112,14.4200627,10.03134796,0.882352941,0.006343284
150,Trent Forrest,SG,24,ATL,23,3,277,3.2,7.8,4.6,0.417,0,0.3,0,3.2,7.5,0.431,0.3,0.4,0.1,0.667,0.6,4.2,4.8,4.9,0.9,0.3,1.9,2.2,6.8,42.94871795,42.55319149,33.13049358,12.84651792,0.688259109,0.020216606
151,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,0,,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Evan Fournier,SG,30,NYK,27,7,459,4.4,13,8.6,0.337,2.7,8.9,0.307,1.6,4.1,0.404,1.4,1.6,0.2,0.857,0.3,3.5,3.8,2.8,1.3,0.2,1.7,3.6,12.9,68.07692308,46.875,15.33406353,9.309967141,0.836575875,0.005446623
153,De'Aaron Fox,PG,25,SAC,73,73,2435,10.1,19.7,9.6,0.512,1.8,5.4,0.324,8.3,14.3,0.584,5.1,6.5,1.4,0.78,0.6,3.9,4.5,6.6,1.2,0.3,2.7,2.5,27,64.97461929,59.24300603,20.5687573,8.414491624,1.066140178,0.00550308
